age_difference;same_gender;setting;frequency;initiator;help;other_age;other_gender;role;hierarchy;rel_quality;geo_distance;years_known;depth_acquaintance;contact_freq;shared_interests;formality_level;self-direction;power;universalism;achievement;security;stimulation;confromity;hedonism;benevolence;Priority
8;1;work;occasional;you;receiving;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
8;1;work;regular;none;neither;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
0;0;family;regular;none;neither;22;Female;partner;None;2;v-close;<2 years;5;5;3;5;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
0;0;family;occasional;other;neither;22;Female;partner;None;2;v-close;<2 years;5;5;3;5;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;4
19;1;sport;regular;none;neither;41;Male;extendedFamily;None;0;far;>10 years;1;1;;1;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
8;1;sport;occasional;other;neither;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;7
8;1;casual;regular;none;neither;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;6
8;1;casual;occasional;other;giving;30;Male;supervisor;Higher;0;v-close;<2 years;2;2;2;3;0;0.5;-0.5;-0.5;0.5;-1;0;0.5;0.5;6
3;1;work;occasional;other;giving;25;Female;friend;None;-1;v-far;2-5 years;4;2;2;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;7
6;1;work;occasional;you;receiving;28;Female;supervisor;Higher;0;v-close;<2 years;1;3;;5;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;5
7;1;family;occasional;you;neither;29;Female;sibling;Higher;1;v-far;>10 years;4;3;3;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;7
7;1;family;occasional;other;neither;29;Female;sibling;Higher;1;v-far;>10 years;4;3;3;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;4
1;1;casual;regular;none;neither;23;Female;coWorker;Lower;0;v-close;<2 years;2;3;;3;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;7
1;1;casual;occasional;you;receiving;23;Female;coWorker;Lower;0;v-close;<2 years;2;3;;3;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;5
3;1;casual;occasional;other;giving;25;Female;friend;None;-1;v-far;2-5 years;4;2;2;1;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;3
6;1;casual;occasional;none;neither;28;Female;supervisor;Higher;0;v-close;<2 years;1;3;;5;0.33;-0.17;0.33;0.33;-0.17;0.33;-0.67;0.33;-0.67;1
1;1;work;occasional;other;giving;34;Male;friend;None;0;v-far;5-10 years;2;1;1;2;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;5
9;0;work;regular;none;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;5
24;0;family;regular;none;neither;57;Female;extendedFamily;Higher;-1;v-close;>10 years;4;2;2;1;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;6
24;0;family;occasional;you;neither;57;Female;extendedFamily;Higher;-1;v-close;>10 years;4;2;2;1;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;2
9;0;sport;regular;none;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;7
9;0;sport;occasional;other;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;6
0;0;casual;occasional;you;receiving;33;Female;friend;None;-1;v-close;2-5 years;3;1;3;1;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;5
9;0;casual;occasional;none;neither;42;Female;supervisor;Higher;-1;far;<2 years;1;1;1;4;1.44;-0.06;0.44;-0.06;-0.56;-1.06;-1.56;1.44;-0.06;3
12;1;work;occasional;you;receiving;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
12;1;work;regular;none;neither;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
30;1;family;regular;none;neither;59;Female;parent;None;2;v-far;>10 years;5;4;3;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
30;1;family;occasional;you;neither;59;Female;parent;None;2;v-far;>10 years;5;4;3;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;1
12;1;sport;regular;none;neither;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
7;0;sport;occasional;other;neither;36;Male;other;None;-2;close;2-5 years;3;1;2;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;7
0;1;casual;regular;none;neither;29;Female;friend;None;1;v-close;<2 years;2;3;3;1;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;1
12;1;casual;occasional;other;giving;41;Female;supervisor;Higher;1;v-close;2-5 years;2;3;2;2;-0.44;1.56;-0.94;1.56;0.06;-0.44;-1.94;0.56;0.06;6
10;1;work;occasional;other;giving;35;Male;supervisor;Higher;2;v-close;2-5 years;4;5;3;3;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;7
10;1;work;regular;none;neither;35;Male;supervisor;Higher;2;v-close;2-5 years;4;5;3;3;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;6
37;1;family;regular;none;neither;62;Male;parent;None;2;v-far;>10 years;5;4;2;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;6
37;1;family;occasional;other;neither;62;Male;parent;None;2;v-far;>10 years;5;4;2;1;1.17;0.17;-0.83;1.17;1.17;-0.83;-0.33;-0.83;-0.83;1
